ano,total,machos,femeas,m_0a12,f_0a12,m_13a24,f_13a24,m_25a36,f_25a36,m_maisde36,f_maisde36
2019,2236638,1197266,1039372,493322,192042,244294,163990,171108,151923,288542,531417
2020,2390613,1290593,1100020,566395,251225,260402,189372,190520,142794,273276,516629
2021,2335846,1254693,1081153,527381,263151,286571,203946,186397,111942,254344,502114
2022,2259544,1146952,1112592,401786,173981,350699,280231,175710,136521,218757,521859
2023,2821541,1458067,1363474,684204,301441,301851,269534,250116,193821,221896,598678
